2025-06-19 18:07:26 | INFO     | dashboard_economico.data_manager | data_manager.get_data_quality_report:384 | Relatório de qualidade gerado: 6/7 indicadores válidos
2025-06-19 18:13:57 | INFO     | dashboard_economico.data_manager | data_manager.get_available_indicators:91 | Indicadores disponíveis: ['ipca', 'selic', 'cambio_ptax_venda', 'deficit_primario', 'arrecadacao_iof', 'pib', 'desemprego']
2025-06-19 18:13:59 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para ipca usando modelo moving_average
2025-06-19 18:14:08 | INFO     | dashboard_economico.data_manager | data_manager.get_available_indicators:91 | Indicadores disponíveis: ['ipca', 'selic', 'cambio_ptax_venda', 'deficit_primario', 'arrecadacao_iof', 'pib', 'desemprego']
2025-06-19 18:14:11 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para ipca usando modelo moving_average
2025-06-19 18:14:12 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para selic usando modelo prophet
2025-06-19 18:14:26 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para selic usando modelo prophet
2025-06-19 18:14:37 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para cambio_ptax_venda usando modelo prophet
2025-06-19 18:14:44 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para arrecadacao_iof usando modelo prophet
2025-06-19 18:14:45 | INFO     | dashboard_economico.data_manager | data_manager.get_multiple_indicators:292 | Carregados 4 de 4 indicadores solicitados
2025-06-19 18:14:45 | INFO     | dashboard_economico.data_manager | data_manager.get_correlation_matrix:329 | Matriz de correlação calculada para 4 indicadores
2025-06-19 18:14:46 | INFO     | dashboard_economico.data_manager | data_manager.get_multiple_indicators:292 | Carregados 4 de 4 indicadores solicitados
2025-06-19 18:14:47 | INFO     | dashboard_economico.data_manager | data_manager.get_available_indicators:91 | Indicadores disponíveis: ['ipca', 'selic', 'cambio_ptax_venda', 'deficit_primario', 'arrecadacao_iof', 'pib', 'desemprego']
2025-06-19 18:14:47 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame ipca: 0 erros encontrados
2025-06-19 18:14:48 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame selic: 0 erros encontrados
2025-06-19 18:14:48 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame cambio_ptax_venda: 0 erros encontrados
2025-06-19 18:14:48 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame deficit_primario: 0 erros encontrados
2025-06-19 18:14:48 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame arrecadacao_iof: 0 erros encontrados
2025-06-19 18:14:49 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame pib: 1 erros encontrados
2025-06-19 18:14:49 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame desemprego: 0 erros encontrados
2025-06-19 18:14:49 | INFO     | dashboard_economico.data_manager | data_manager.get_data_quality_report:384 | Relatório de qualidade gerado: 6/7 indicadores válidos
2025-06-19 18:15:32 | INFO     | dashboard_economico.data_manager | data_manager.get_available_indicators:91 | Indicadores disponíveis: ['ipca', 'selic', 'cambio_ptax_venda', 'deficit_primario', 'arrecadacao_iof', 'pib', 'desemprego']
2025-06-19 18:15:34 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para ipca usando modelo moving_average
2025-06-19 18:15:44 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para selic usando modelo prophet
2025-06-19 18:15:54 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para cambio_ptax_venda usando modelo prophet
2025-06-19 18:16:01 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para arrecadacao_iof usando modelo prophet
2025-06-19 18:16:09 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para deficit_primario usando modelo prophet
2025-06-19 18:16:09 | INFO     | dashboard_economico.data_manager | data_manager.get_multiple_indicators:292 | Carregados 5 de 5 indicadores solicitados
2025-06-19 18:16:09 | INFO     | dashboard_economico.data_manager | data_manager.get_correlation_matrix:329 | Matriz de correlação calculada para 5 indicadores
2025-06-19 18:16:10 | INFO     | dashboard_economico.data_manager | data_manager.get_multiple_indicators:292 | Carregados 5 de 5 indicadores solicitados
2025-06-19 18:16:10 | INFO     | dashboard_economico.data_manager | data_manager.get_available_indicators:91 | Indicadores disponíveis: ['ipca', 'selic', 'cambio_ptax_venda', 'deficit_primario', 'arrecadacao_iof', 'pib', 'desemprego']
2025-06-19 18:16:11 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame ipca: 0 erros encontrados
2025-06-19 18:16:11 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame selic: 0 erros encontrados
2025-06-19 18:16:11 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame cambio_ptax_venda: 0 erros encontrados
2025-06-19 18:16:11 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame deficit_primario: 0 erros encontrados
2025-06-19 18:16:12 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame arrecadacao_iof: 0 erros encontrados
2025-06-19 18:16:12 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame pib: 1 erros encontrados
2025-06-19 18:16:12 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame desemprego: 0 erros encontrados
2025-06-19 18:16:12 | INFO     | dashboard_economico.data_manager | data_manager.get_data_quality_report:384 | Relatório de qualidade gerado: 6/7 indicadores válidos
2025-06-19 18:36:29 | INFO     | dashboard_economico.data_manager | data_manager.get_available_indicators:91 | Indicadores disponíveis: ['ipca', 'selic', 'cambio_ptax_venda', 'deficit_primario', 'arrecadacao_iof', 'pib', 'desemprego']
2025-06-19 18:36:29 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para ipca usando modelo moving_average
2025-06-19 18:36:30 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para selic usando modelo prophet
2025-06-19 18:36:31 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para cambio_ptax_venda usando modelo prophet
2025-06-19 18:36:32 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para arrecadacao_iof usando modelo prophet
2025-06-19 18:36:32 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para deficit_primario usando modelo prophet
2025-06-19 18:36:32 | INFO     | dashboard_economico.data_manager | data_manager.get_multiple_indicators:292 | Carregados 5 de 5 indicadores solicitados
2025-06-19 18:36:32 | INFO     | dashboard_economico.data_manager | data_manager.get_correlation_matrix:329 | Matriz de correlação calculada para 5 indicadores
2025-06-19 18:36:32 | INFO     | dashboard_economico.data_manager | data_manager.get_multiple_indicators:292 | Carregados 5 de 5 indicadores solicitados
2025-06-19 18:36:32 | INFO     | dashboard_economico.data_manager | data_manager.get_available_indicators:91 | Indicadores disponíveis: ['ipca', 'selic', 'cambio_ptax_venda', 'deficit_primario', 'arrecadacao_iof', 'pib', 'desemprego']
2025-06-19 18:36:32 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame ipca: 0 erros encontrados
2025-06-19 18:36:32 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame selic: 0 erros encontrados
2025-06-19 18:36:32 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame cambio_ptax_venda: 0 erros encontrados
2025-06-19 18:36:32 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame deficit_primario: 0 erros encontrados
2025-06-19 18:36:32 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame arrecadacao_iof: 0 erros encontrados
2025-06-19 18:36:32 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame pib: 1 erros encontrados
2025-06-19 18:36:32 | INFO     | dashboard_economico.validators | validators.validate_dataframe:98 | Validação do DataFrame desemprego: 0 erros encontrados
2025-06-19 18:36:32 | INFO     | dashboard_economico.data_manager | data_manager.get_data_quality_report:384 | Relatório de qualidade gerado: 6/7 indicadores válidos
2025-06-19 18:36:32 | INFO     | dashboard_economico.data_manager | data_manager.get_available_indicators:91 | Indicadores disponíveis: ['ipca', 'selic', 'cambio_ptax_venda', 'deficit_primario', 'arrecadacao_iof', 'pib', 'desemprego']
2025-06-19 18:36:33 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para ipca usando modelo moving_average
2025-06-19 18:36:34 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para selic usando modelo prophet
2025-06-19 18:36:34 | INFO     | dashboard_economico.data_manager | data_manager.get_available_indicators:91 | Indicadores disponíveis: ['ipca', 'selic', 'cambio_ptax_venda', 'deficit_primario', 'arrecadacao_iof', 'pib', 'desemprego']
2025-06-19 18:36:34 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para ipca usando modelo moving_average
2025-06-19 18:36:35 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para cambio_ptax_venda usando modelo prophet
2025-06-19 18:36:36 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para selic usando modelo prophet
2025-06-19 18:36:37 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para cambio_ptax_venda usando modelo prophet
2025-06-19 18:36:37 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para arrecadacao_iof usando modelo prophet
2025-06-19 18:36:38 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para deficit_primario usando modelo prophet
2025-06-19 18:36:38 | INFO     | dashboard_economico.forecast_models | forecast_models.generate_forecast:119 | Previsão gerada para desemprego usando modelo prophet
2025-06-19 18:36:38 | INFO     | dashboard_economico.data_manager | data_manager.get_multiple_indicators:292 | Carregados 6 de 6 indicadores solicitados
2025-06-19 18:36:38 | INFO     | dashboard_economico.data_manager | data_manager.get_correlation_matrix:329 | Matriz de correlação calculada para 6 indicadores
2025-06-19 18:36:38 | INFO     | dashboard_economico.data_manager | data_manager.get_multiple_indicators:292 | Carregados 6 de 6 indicadores solicitados
2025-06-19 18:36:38 | INFO     | dashboard_economico.data_manager | data_manager.get_available_indicators:91 | Indicadores disponíveis: ['ipca', 'selic', 'cambio_ptax_venda', 'deficit_primario', 'arrecadacao_iof', 'pib', 'desemprego']
